,info,price,quantity_like,rating,product_reviews,shop_info,class_name,Made_in,Send_from,rating_star,evaluate,quantity_sold,rating5star,rating4star,rating3star,rating2star,rating1star,quantity_comment,quantity_pic_video,Type_store,shop_response_rate,shop_evaluates,shop_follows,shop_join_time,shop_product_number,Type_product,Type_items
0,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Đồ lót
Quần lót
Xuất xứ
Trung Quốc
Chất liệu
Đúc su
Kho hàng
68617
Gửi từ
Quận Hoàng Mai, Hà Nội
",9450.0,30200.0,"4.9 118,2k Đánh Giá 1,6tr Đã Bán Tố cáo","Tất Cả5 Sao (111,3k)4 Sao (3,9k)3 Sao (1,5k)2 Sao (535)1 Sao (840)Có Bình Luận (64,2k)Có Hình Ảnh / Video (56,3k)","Yêu Thích+danbikiniOnline 6 Giờ TrướcChat NgayXem ShopĐánh Giá787,4kTỉ Lệ Phản Hồi96%Tham Gia34 tháng trướcSản Phẩm875Thời Gian Phản Hồitrong vài giờNgười Theo Dõi575,9k",ShopeeThời Trang NữĐồ lótQuần lótQuần Lót Nữ Đúc Su thun lạnh không đường may cao cấp mềm mại kháng khuẩn danbikini MÃ 810,China,Hà Nội,4.9,118200,1600000,111300,3900,1500,535,840,64200,56300,Favorite_store,96,787400,575900,34,875,Thời Trang Nữ,Đồ lót
1,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Vải
Vải len
Kho hàng
85205
Gửi từ
Hà Nội
",9920.0,9800.0,"4.9 17,1k Đánh Giá 237,2k Đã Bán Tố cáo","Tất Cả5 Sao (16,1k)4 Sao (588)3 Sao (223)2 Sao (81)1 Sao (161)Có Bình Luận (9,3k)Có Hình Ảnh / Video (8,8k)",Yêu ThíchthaoqueenOnline 6 Giờ TrướcChat NgayXem ShopĐánh Giá87kTỉ Lệ Phản Hồi68%Tham Gia6 năm trướcSản Phẩm242Thời Gian Phản Hồitrong vài giờNgười Theo Dõi55k,ShopeeThời Trang NữVảiVải len[Mã FATRENDW3 giảm đến 30K đơn 99K] Len Milk Cotton 50g Baby Bảng 62 Màu. Cuộn Len Sợi Cotton,VietNam,Hà Nội,4.9,17100,237200,16100,588,223,81,161,9300,8800,Standard_store,68,87000,55000,72,242,Thời Trang Nữ,Vải len
2,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Vớ/ Tất
Tất
Chất liệu
Cotton
Kiểu đóng gói
Đơn
Chiều dài vớ
Mắt cá
Loại tất/vớ
Khác
Xuất xứ
Trung Quốc
Tên tổ chức chịu trách nhiệm sản xuất
Zhangzhou Senbu Knitting CO., Ltd
Địa chỉ tổ chức chịu trách nhiệm sản xuất
Trung Quốc
Số lượng hàng khuyến mãi
969
Số sản phẩm còn lại
4744
Gửi từ
Hà Nội
",7700.0,19000.0,"4.9 41,2k Đánh Giá 660,7k Đã Bán Tố cáo","Tất Cả5 Sao (39,4k)4 Sao (1,4k)3 Sao (325)2 Sao (60)1 Sao (78)Có Bình Luận (22,2k)Có Hình Ảnh / Video (19,9k)","Yêu Thích+cherryshop2412Online 6 Giờ TrướcChat NgayXem ShopĐánh Giá254,3kTỉ Lệ Phản Hồi99%Tham Gia23 tháng trướcSản Phẩm229Thời Gian Phản Hồitrong vài giờNgười Theo Dõi249,5k","ShopeeThời Trang NữVớ/ TấtTấtTất vớ nam nữ chất liệu vải Hàn co giãn bốn chiều, kiểu dáng trơn phong cách hiện đại - Cherry Shop",China,Hà Nội,4.9,41200,660700,39400,1400,325,60,78,22200,19900,Favorite_store,99,254300,249500,23,229,Thời Trang Nữ,Tất vớ
3,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Vớ/ Tất
Tất
Chất liệu
Cotton
Kiểu đóng gói
Đơn
Chiều dài vớ
Khác
Loại tất/vớ
Khác
Xuất xứ
Trung Quốc
Địa chỉ tổ chức chịu trách nhiệm sản xuất
Trung Quốc
Tên tổ chức chịu trách nhiệm sản xuất
Zhangzhou Senbu Knitting CO., Ltd
Kho hàng
69255
Gửi từ
TP. Hồ Chí Minh
",7700.0,4500.0,"4.9 4,6k Đánh Giá 81,3k Đã Bán Tố cáo","Tất Cả5 Sao (4,3k)4 Sao (169)3 Sao (43)2 Sao (7)1 Sao (6)Có Bình Luận (2,5k)Có Hình Ảnh / Video (2,2k)","Yêu Thích+ekiushopOnline 7 Giờ TrướcChat NgayXem ShopĐánh Giá10,2kTỉ Lệ Phản Hồi100%Tham Gia8 tháng trướcSản Phẩm84Thời Gian Phản Hồitrong vài giờNgười Theo Dõi11,7k","ShopeeThời Trang NữVớ/ TấtTấtTất vớ nam nữ chất liệu vải Hàn Quốc co giãn bốn chiều, phong cách đơn giản, chống hôi chân - Ekiu Shop",China,HCM,4.9,4600,81300,4300,169,43,7,6,2500,2200,Favorite_store,100,10200,11700,8,84,Thời Trang Nữ,Tất vớ
4,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Vải
Vải len
Địa chỉ tổ chức chịu trách nhiệm sản xuất
Đang cập nhật
Xuất xứ
Trung Quốc
Tên tổ chức chịu trách nhiệm sản xuất
Đang cập nhật
Số lượng hàng khuyến mãi
5
Số sản phẩm còn lại
301
Gửi từ
Gia Lai
",9950.0,8900.0,"4.9 18,1k Đánh Giá 258k Đã Bán Tố cáo","Tất Cả5 Sao (17,5k)4 Sao (455)3 Sao (137)2 Sao (48)1 Sao (42)Có Bình Luận (11,3k)Có Hình Ảnh / Video (10,6k)","Yêu Thích+anyen00Online 7 Giờ TrướcChat NgayXem ShopĐánh Giá83,9kTỉ Lệ Phản Hồi97%Tham Gia5 năm trướcSản Phẩm180Thời Gian Phản Hồitrong vài giờNgười Theo Dõi69,6k",ShopeeThời Trang NữVảiVải lenLen Milk Cotton - Len Bông Sữa 50g,China,Nơi khác,4.9,18100,258000,17500,455,137,48,42,11300,10600,Favorite_store,97,83900,69600,60,180,Thời Trang Nữ,Vải len
5,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Vải
Khác
Xuất xứ
Trung Quốc
Kho hàng
66248
Gửi từ
Hà Nội
",10115.0,3000.0,"4.9 5,7k Đánh Giá 100,2k Đã Bán Tố cáo","Tất Cả5 Sao (5,3k)4 Sao (233)3 Sao (86)2 Sao (36)1 Sao (51)Có Bình Luận (2,9k)Có Hình Ảnh / Video (2,7k)","tongkholensoiOnline 7 Giờ TrướcChat NgayXem ShopĐánh Giá36,6kTỉ Lệ Phản Hồi60%Tham Gia36 tháng trướcSản Phẩm182Thời Gian Phản Hồitrong vài giờNgười Theo Dõi26,5k",ShopeeThời Trang NữVảiKhác[Mã FATRENDW3 giảm đến 30K đơn 99K] Len Milk Cotton 50g bảng 62 màu 50gr,China,Hà Nội,4.9,5700,100200,5300,233,86,36,51,2900,2700,Normal_store,60,36600,26500,36,182,Thời Trang Nữ,Vải len
6,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Đồ lót
Quần lót
Chất liệu
Cotton
Xuất xứ
Trung Quốc
Kho hàng
49813
Gửi từ
Quận Hoàng Mai, Hà Nội
",9995.0,1900.0,"4.9 13,9k Đánh Giá 136,9k Đã Bán Tố cáo","Tất Cả5 Sao (12,8k)4 Sao (625)3 Sao (254)2 Sao (87)1 Sao (133)Có Bình Luận (7k)Có Hình Ảnh / Video (6,3k)","Yêu Thích+danbikiniOnline 6 Giờ TrướcChat NgayXem ShopĐánh Giá787,4kTỉ Lệ Phản Hồi96%Tham Gia34 tháng trướcSản Phẩm875Thời Gian Phản Hồitrong vài giờNgười Theo Dõi575,9k",ShopeeThời Trang NữĐồ lótQuần lótQuần Lót Nữ Đúc Su Thun Lạnh không đường may viền sóng gợi cảm tôn dáng sexy phanngoc05 mã 63,China,Hà Nội,4.9,13900,136900,12800,625,254,87,133,7000,6300,Favorite_store,96,787400,575900,34,875,Thời Trang Nữ,Đồ lót
7,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Đồ lót
Quần lót
Tên tổ chức chịu trách nhiệm sản xuất
Đang cập nhật
Bản eo
Bản to
Mẫu
Họa tiết, Trơn
Chất liệu
Cotton, Ren, Lanh, Lụa
Địa chỉ tổ chức chịu trách nhiệm sản xuất
Đang cập nhật
Kiểu đóng gói
Đơn
Rất lớn
Có
Mùa
Mùa hè
Petite
Có
Loại quần lót
Cạp thấp
Xuất xứ
Trung Quốc
Kiểu quần lót
Quần lót nâng mông
Số lượng hàng khuyến mãi
4215
Số sản phẩm còn lại
17009
Gửi từ
Hà Nội
",6800.0,14400.0,"5.0 23k Đánh Giá 264,7k Đã Bán Tố cáo","Tất Cả5 Sao (22,3k)4 Sao (525)3 Sao (146)2 Sao (38)1 Sao (54)Có Bình Luận (11,7k)Có Hình Ảnh / Video (9,8k)","Yêu Thích+huong_havanaOnline 6 Giờ TrướcChat NgayXem ShopĐánh Giá203,1kTỉ Lệ Phản Hồi99%Tham Gia5 năm trướcSản Phẩm363Thời Gian Phản Hồitrong vài giờNgười Theo Dõi239,2k",ShopeeThời Trang NữĐồ lótQuần lótQuần lót nữ lụa băng - quần chip nữ tàng hình cạp ren họa tiết tim - có bigsize - mã FLQ44,China,Hà Nội,5.0,23000,264700,22300,525,146,38,54,11700,9800,Favorite_store,99,203100,239200,60,363,Thời Trang Nữ,Đồ lót
8,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Vớ/ Tất
Tất
Chất liệu
Sợi dệt, Cotton
Kiểu đóng gói
Đơn
Chiều dài vớ
Bắp chân
Loại tất/vớ
Vớ thể thao
Xuất xứ
Việt Nam
Tên tổ chức chịu trách nhiệm sản xuất
Hộ kinh doanh Tiến Thành
Địa chỉ tổ chức chịu trách nhiệm sản xuất
huyện Gia Lâm, Thành phố Hà Nội
Kho hàng
1677870
Gửi từ
Hà Nội
",14000.0,35600.0,"4.9 73,1k Đánh Giá 803,7k Đã Bán Tố cáo","Tất Cả5 Sao (67,8k)4 Sao (3,3k)3 Sao (1,1k)2 Sao (354)1 Sao (603)Có Bình Luận (30,7k)Có Hình Ảnh / Video (24,5k)","Yêu Thích+covolacotatOnline 6 Giờ TrướcChat NgayXem ShopĐánh Giá153,2kTỉ Lệ Phản Hồi91%Tham Gia33 tháng trướcSản Phẩm209Thời Gian Phản Hồitrong vài giờNgười Theo Dõi127,3k",ShopeeThời Trang NữVớ/ TấtTất[Mã FATRENDW3 giảm đến 30K đơn 99K] ⚠️ FREESHIP⚠️ Tất nam nữ cổ cao thể thao thời trang cao cấp covolacotat,VietNam,Hà Nội,4.9,73100,803700,67800,3300,1100,354,603,30700,24500,Favorite_store,91,153200,127300,33,209,Thời Trang Nữ,Tất vớ
9,"CHI TIẾT SẢN PHẨM
Danh Mục
Shopee
Thời Trang Nữ
Vải
Vải len
Xuất xứ
Trung Quốc
Tên tổ chức chịu trách nhiệm sản xuất
Yêu handmade
Kho hàng
221072
Gửi từ
TP. Hồ Chí Minh
",12000.0,2800.0,"5.0 8,5k Đánh Giá 113,9k Đã Bán Tố cáo","Tất Cả5 Sao (8,2k)4 Sao (210)3 Sao (54)2 Sao (16)1 Sao (12)Có Bình Luận (5,1k)Có Hình Ảnh / Video (4,8k)","Yêu ThíchyeuhandmadelicaOnline 6 Giờ TrướcChat NgayXem ShopĐánh Giá70,7kTỉ Lệ Phản Hồi95%Tham Gia35 tháng trướcSản Phẩm254Thời Gian Phản Hồitrong vài giờNgười Theo Dõi57,3k","ShopeeThời Trang NữVảiVải len[HCM] Cuộn Len Milk Cotton 50g (MÀU 1-40) - Len đan móc áo, thú len, móc mũ nón cho trẻ em",China,HCM,5.0,8500,113900,8200,210,54,16,12,5100,4800,Standard_store,95,70700,57300,35,254,Thời Trang Nữ,Áo các loại
